speed_kmh,angle_deg,distance_m
92.77,-43.06,0.05
132.45,-36.41,0.00
137.89,54.46,62.02
62.89,38.54,20.03
170.33,22.65,110.77
67.98,-71.20,0.14
118.99,-15.97,0.55
102.26,33.91,52.47
61.02,43.67,19.01
36.44,-20.49,1.63
193.55,7.60,58.54
125.54,-72.89,0.00
76.95,-55.03,0.50
102.56,54.78,39.88
108.77,32.97,58.25
91.30,18.13,34.05
89.13,31.52,35.61
71.95,22.48,18.12
80.09,-67.53,0.00
119.95,-36.48,0.00
125.70,-44.53,0.01
82.59,47.69,32.87
141.53,-60.74,0.35
140.12,51.75,67.35
81.04,-24.12,0.83
111.79,28.62,62.16
120.00,-30.80,0.63
153.28,-6.45,4.09
139.61,33.49,87.41
164.45,-19.86,0.00
196.90,-31.46,0.00
139.12,21.59,83.36
197.45,-15.76,2.08
126.61,-23.69,0.15
100.51,-48.14,0.00
106.90,28.89,54.19
132.82,27.18,86.60
129.54,-58.66,0.00
80.65,26.80,39.82
110.50,-15.55,1.84
216.90,-5.28,6.59
147.19,14.72,57.15
162.88,18.86,86.49
197.06,-24.91,0.97
142.64,47.99,76.14
116.66,36.79,64.52
154.22,54.22,77.06
160.64,34.09,108.23
97.07,-72.16,0.00
151.14,13.32,61.17
180.28,17.62,106.69
132.07,-29.56,0.00
218.19,-7.89,4.78
262.39,-21.68,1.62
134.00,7.38,33.90
75.97,-26.21,0.00
116.66,30.99,58.18
188.74,20.76,130.25
86.14,-30.00,0.84
100.38,-24.16,0.68
169.08,-28.79,0.00
148.66,-39.57,0.00
126.09,-49.49,0.00
75.80,-7.06,3.93
149.80,38.29,95.09
79.64,80.01,13.87
61.33,-51.83,0.55
121.36,-26.88,0.01
53.91,12.88,9.30
103.30,-68.46,0.63
125.51,80.19,4.66
126.52,7.47,32.21
115.36,-25.37,0.73
78.03,-35.77,0.00
73.22,38.11,29.72
36.61,31.23,6.70
136.98,-34.60,0.01
152.25,54.76,69.29
200.87,53.71,112.67
89.44,48.79,35.04
119.86,4.53,20.85
136.02,-34.93,0.00
172.92,46.88,103.76
184.37,10.27,72.55
73.52,16.67,19.86
91.02,36.32,39.32
188.32,-0.07,16.30
167.08,8.01,56.64
112.21,-71.91,0.00
182.49,12.91,103.18
103.73,51.25,43.96
91.04,-56.24,0.00
58.86,43.56,18.39
82.03,50.77,28.58
74.05,48.23,25.91
147.40,-14.37,2.17
161.58,28.38,102.63
160.33,-51.49,0.00
69.48,4.67,7.91
53.97,-21.92,1.35
114.09,-2.10,6.83
77.75,-36.40,0.00
207.98,-0.75,17.88
92.64,-2.37,6.66
135.42,-25.85,0.02
69.39,34.03,24.97
71.24,-23.12,0.73
63.63,78.84,2.33
193.50,-37.81,0.00
131.06,-29.74,0.25
87.73,-50.22,0.42
160.62,-12.68,2.89
54.78,51.98,14.10
115.29,37.88,60.57
25.51,-35.73,0.74
92.88,-59.49,0.13
127.73,10.23,40.68
79.73,31.63,38.07
232.07,17.33,151.05
130.24,-23.43,0.00
54.71,-40.53,0.27
123.61,24.10,73.26
129.00,-37.79,0.71
121.78,13.82,37.45
186.42,60.09,86.71
131.32,-28.53,0.69
105.73,-20.07,0.08
65.29,-2.73,5.15
113.65,-15.27,0.75
76.80,39.65,33.58
212.14,-50.16,0.04
46.18,74.49,6.82
102.71,-50.78,0.35
87.03,11.12,24.47
151.34,-39.28,0.00
117.21,-0.57,9.40
97.58,-8.44,2.71
77.21,7.34,12.95
99.03,-34.54,0.04
155.06,-34.76,0.20
35.62,42.62,7.85
84.24,18.97,25.17
101.04,-87.66,0.00
51.96,40.29,14.98
105.39,2.66,13.92
84.83,29.15,28.02
65.40,-22.06,1.27
178.38,-24.50,0.26
123.99,-43.68,0.18
68.52,45.55,19.92
211.37,-11.73,2.88
55.88,52.63,14.10
93.65,63.72,22.45
272.50,-5.13,6.85
173.91,51.27,97.24
120.43,-39.30,0.00
96.81,37.72,47.22
205.00,-3.44,9.13
106.78,37.10,56.43
71.97,-52.20,0.00
60.97,10.44,10.22
63.96,-53.32,0.58
144.68,50.82,73.51
78.24,62.90,18.36
139.20,-33.99,0.49
112.20,-62.42,0.05
134.91,15.66,53.78
113.26,-15.92,1.39
146.75,15.37,65.83
87.33,-20.67,0.50
117.28,-52.52,0.00
98.70,15.20,37.07
110.39,-3.30,6.89
165.39,-12.48,2.59
92.45,-28.01,0.29
254.39,-31.80,0.85
47.94,33.99,11.78
137.14,16.11,54.45
95.84,38.55,43.64
102.41,-39.20,0.00
177.75,53.76,95.15
100.33,16.87,40.09
83.94,-53.45,0.00
91.62,-60.45,0.00
143.17,-0.19,13.06
111.28,26.49,45.13
103.49,6.99,24.22
146.21,43.30,84.84
100.47,-56.76,0.00
207.44,-13.95,2.45
84.77,-71.21,0.00
117.98,-7.09,3.15
114.72,-6.50,4.35
82.90,15.40,18.42
130.13,-28.82,0.47
98.31,-35.18,0.56
114.50,5.30,19.99
199.21,-29.74,0.00
163.80,5.44,34.74
88.49,-12.80,1.92
84.90,-51.65,0.00
111.45,41.09,52.28
94.64,-26.19,0.81
85.14,57.65,26.19
93.62,33.00,44.66
112.40,-44.72,0.74
77.19,15.34,24.09
149.24,-19.13,1.55
91.51,-9.76,2.95
158.21,-36.93,0.00
79.99,-25.59,0.34
86.90,3.17,11.14
46.73,56.30,10.79
115.95,-34.10,0.00
114.74,59.25,39.38
185.77,17.78,125.30
76.18,64.51,21.14
93.18,23.62,47.44
138.72,54.19,65.22
95.72,-22.09,0.85
86.11,41.47,33.03
71.50,29.13,23.73
166.79,-25.04,0.79
127.89,-45.73,0.05
133.35,-12.51,2.94
252.58,-0.45,22.09
74.02,64.79,20.03
46.39,-4.31,3.48
133.74,35.79,73.85
198.17,18.14,128.98
83.20,3.19,11.18
65.03,-55.91,0.00
66.39,24.90,16.71
104.70,-19.74,1.01
127.43,15.71,61.13
90.78,30.37,34.03
136.83,-63.65,0.00
159.38,21.29,83.58
157.36,-26.85,0.05
118.69,-29.87,0.00
85.90,-9.55,3.11
105.73,-44.28,0.00
106.27,-52.22,0.43
92.92,34.29,42.36
127.26,48.81,60.84
81.95,-28.38,0.99
168.28,54.81,85.95
110.72,-1.91,7.14
186.22,31.67,136.13
85.25,80.07,16.47
203.87,2.71,32.90
124.12,-24.19,0.86
93.65,-17.49,1.14
151.46,-29.40,0.13
114.40,-69.62,0.00
185.34,-16.45,2.60
80.40,-50.37,0.00
112.64,-4.86,5.27
58.92,-8.11,3.80
128.89,-49.49,0.33
56.27,-25.91,1.40
100.10,-74.79,0.38
65.61,68.20,15.06
39.47,-31.35,0.34
41.90,5.98,4.88
91.18,26.01,34.40
115.51,10.18,29.03
106.07,-62.57,0.50
61.58,-50.71,0.18
108.94,59.87,41.46
137.17,16.48,76.07
143.32,-28.28,0.00
43.28,32.51,10.64
137.28,27.63,81.40
183.45,11.90,77.75
70.85,60.44,20.28
129.18,51.34,60.96
152.93,-27.14,0.00
81.93,37.97,32.84
118.31,-68.24,0.17
96.58,54.08,35.60
64.46,-15.01,2.06
161.95,-28.92,0.27
143.81,50.20,74.65
29.45,-47.70,0.17
77.78,38.51,34.03
66.03,-67.73,0.30
71.40,-45.59,0.00
43.64,15.63,6.91
75.28,-35.79,0.45
140.76,81.73,5.03
66.96,-45.20,0.00
89.07,-7.86,4.49
87.26,40.45,40.45
61.19,28.08,19.31
159.57,42.23,97.44
117.15,30.48,59.08
150.34,-41.37,0.00
158.08,-4.11,7.26
67.10,-26.83,1.31
136.53,-28.48,0.74
90.12,-23.59,0.21
67.46,-79.98,0.00
113.13,51.46,48.86
59.11,68.52,12.80
133.67,-21.82,0.00
93.44,-50.72,0.00
133.83,40.23,71.84
141.37,32.33,83.25
161.97,33.26,110.39
107.15,42.13,52.99
121.39,-5.21,5.75
155.36,71.23,41.66
83.17,25.07,30.26
223.64,3.10,42.51
181.32,-65.75,0.21
83.63,-60.53,0.00
104.12,-51.33,0.00
78.96,-41.59,0.00
166.44,38.01,110.81
67.07,-18.96,1.27
116.26,71.17,32.07
106.73,3.68,15.55
30.20,-72.80,0.00
145.55,-12.79,1.46
175.43,24.21,119.47
54.44,40.79,14.79
138.67,7.64,39.41
86.53,-27.50,1.30
126.75,-65.74,0.00
108.03,-16.68,0.72
185.21,24.93,130.65
165.93,-29.41,0.14
120.92,-13.59,2.24
64.35,-16.93,1.20
137.09,74.42,18.77
87.38,43.16,32.17
143.70,36.61,90.79
72.72,62.22,20.63
153.14,-0.95,12.81
156.99,-28.28,0.00
57.02,62.52,13.45
98.75,-23.60,0.34
134.72,35.99,78.95
211.65,10.70,105.54
208.75,-19.01,1.87
114.70,45.12,54.43
161.02,-34.24,0.29
196.20,-10.89,3.31
55.49,48.65,15.53
144.26,-29.88,0.29
68.35,-9.59,3.25
70.21,-25.08,0.02
76.49,35.60,30.52
191.46,-48.64,0.00
138.50,23.05,66.96
118.60,-0.53,11.29
72.55,-20.43,2.03
210.35,-15.89,2.23
42.72,35.18,8.81
102.53,13.50,34.16
65.05,9.84,11.89
113.71,10.60,34.45
147.06,-34.59,0.00
136.11,71.67,30.10
192.20,-62.52,0.06
86.15,-29.74,0.15
144.43,24.78,87.92
171.12,19.53,104.21
43.26,-40.00,0.75
28.55,21.01,3.77
144.23,-25.60,0.00
230.93,-15.54,1.24
250.74,-3.39,11.06
50.80,46.86,13.77
69.97,44.08,25.38
64.15,-7.42,2.89
99.83,49.04,42.42
133.82,-43.11,0.00
96.88,12.70,25.84
93.08,-4.97,5.15
143.98,-35.25,0.25
128.01,42.75,70.11
204.67,-41.97,0.00
84.89,35.52,31.63
134.15,11.39,42.89
151.36,-52.14,0.00
189.69,-9.41,3.18
119.75,28.83,64.67
225.56,14.37,140.67
84.82,47.14,32.15
158.97,59.38,68.88
128.00,64.99,36.22
177.74,-12.91,2.67
179.46,46.13,111.06
152.15,-33.24,0.00
184.85,21.60,126.37
76.18,-22.48,0.96
63.25,-6.93,2.81
90.47,-2.88,6.19
147.87,27.16,94.82
86.50,-48.66,0.00
106.97,-43.89,0.00
40.71,13.98,5.52
129.19,2.72,19.97
95.43,21.35,46.14
130.91,-42.46,0.00
56.85,-65.78,0.02
42.30,-48.60,0.00
88.35,-4.99,4.11
54.11,48.63,15.01
144.80,32.00,80.80
115.22,-33.38,0.00
203.86,-16.30,1.38
153.93,24.21,95.09
100.47,-35.57,0.00
106.00,5.79,18.27
114.71,-24.02,0.75
145.43,6.24,42.60
94.33,-39.73,0.00
103.53,24.77,52.89
77.60,21.86,32.44
164.83,29.41,108.46
127.02,-37.72,0.00
147.12,1.58,17.80
153.55,-35.83,0.44
71.74,73.71,12.61
178.46,15.69,97.22
88.93,-18.29,0.84
79.32,-2.36,6.21
97.49,-67.29,0.00
116.96,-52.55,0.00
85.57,-15.66,1.79
93.70,30.95,45.18
213.44,17.43,138.57
66.42,-49.44,0.55
236.41,-5.36,7.24
119.78,73.07,32.85
129.84,27.31,74.07
101.80,-28.76,0.00
148.08,-7.07,5.21
137.70,25.28,89.46
55.07,15.47,10.60
106.07,51.08,45.89
74.43,-16.49,2.22
89.64,41.09,37.76
109.42,-17.63,1.35
185.69,34.58,132.66
108.34,32.54,61.43
156.05,6.48,39.11
52.33,-53.86,0.09
127.66,-16.79,2.02
124.43,-44.08,0.00
118.15,-12.96,1.29
74.71,-14.02,2.09
82.68,-45.37,0.12
164.34,58.93,76.26
61.65,35.98,18.62
49.19,-75.83,0.00
93.53,23.48,30.82
59.73,42.16,19.12
63.52,-38.37,0.00
77.08,-9.48,2.97
97.73,20.00,38.65
180.87,-30.21,0.00
81.25,41.44,35.99
121.49,39.55,64.47
86.18,-15.88,2.11
81.40,-12.02,2.36
65.03,0.08,5.98
52.84,-57.60,0.26
45.65,-53.93,0.25
42.14,-8.49,2.97
196.94,-6.92,5.81
90.43,54.82,30.98
201.44,2.00,31.16
88.68,-34.66,0.00
115.83,39.06,59.69
75.04,69.37,19.07
156.15,18.30,91.61
133.50,-40.93,0.00
114.60,-39.27,0.80
90.54,18.40,26.96
126.53,41.80,63.59
131.58,-14.91,1.80
152.19,8.16,45.23
211.39,45.02,141.40
155.29,24.29,99.69
196.55,18.95,128.54
178.32,-13.77,1.21
83.45,-22.71,1.47
66.90,55.22,19.87
57.52,-6.18,3.40
87.25,12.40,20.25
121.09,75.74,32.72
131.05,50.20,64.22
64.23,-31.80,0.26
101.70,-8.68,3.48
57.95,67.92,9.70
173.86,-29.24,0.00
161.12,-23.35,0.52
208.86,22.43,156.48
169.54,6.62,50.82
36.14,-75.53,0.00
100.39,19.47,45.15
98.38,50.30,38.88
124.18,-25.41,0.77
119.02,17.15,48.98
75.97,-21.09,0.29
133.67,25.28,81.19
132.03,-16.02,1.88
205.26,27.67,154.09
34.59,-10.56,2.40
89.65,-24.89,0.00
181.29,33.31,120.66
128.60,27.71,59.07
120.02,-12.87,2.20
85.84,51.79,31.11
82.29,44.12,28.45
97.32,-53.39,0.00
82.75,-25.37,0.18
33.40,-8.10,2.95
93.69,63.30,30.79
198.98,-41.95,0.00
181.41,22.69,115.62
110.52,-29.97,0.00
197.44,-13.67,2.01
87.61,-14.81,1.83
117.87,-15.55,1.81
84.31,-76.94,0.04
112.99,15.71,50.55
54.28,29.63,12.66
99.23,-50.75,0.00
63.00,3.93,7.49
156.69,3.28,26.90
61.55,69.93,11.27
114.27,32.92,64.68
85.11,11.54,20.72
180.36,-2.37,10.97
94.99,-38.41,0.00
95.89,-42.29,0.00
110.41,37.21,49.40
76.59,-30.96,0.00
154.38,4.67,29.40
129.12,31.89,72.53
88.27,24.54,37.27
39.27,-51.12,0.32
123.28,76.39,10.02
98.94,-17.91,0.87
98.28,-43.71,0.00
168.40,-42.45,0.00
81.48,39.68,35.38
227.14,-15.23,2.07
84.55,30.00,32.71
41.14,-49.21,0.48
212.92,-30.52,0.48
73.13,54.55,22.55
69.32,-35.80,0.11
82.23,-2.06,5.64
51.40,63.82,11.08
144.65,-30.66,0.00
187.91,-43.86,0.00
170.24,40.67,109.62
131.40,11.83,51.99
79.06,76.16,17.12
139.77,15.03,73.21
120.61,-11.72,3.36
44.67,-38.99,0.34
118.50,8.91,33.27
106.65,27.38,62.86
167.17,-21.89,0.00
100.74,23.19,48.72
89.93,5.32,16.06
191.92,-73.24,0.46
223.36,-14.94,2.75
174.21,26.39,116.92
60.89,-19.96,0.92
188.58,14.82,103.43
96.64,65.52,22.78
177.48,-19.07,0.41
80.38,72.38,15.02
112.86,-35.36,0.00
131.45,-25.02,0.81
73.51,12.94,14.39
128.43,-41.50,0.06
120.72,-28.02,0.05
78.29,-6.13,3.70
181.21,-51.78,0.06
103.00,24.35,41.95
121.23,-72.62,0.13
107.64,69.66,16.82
72.11,13.29,13.29
129.62,-25.66,0.43
141.69,57.57,59.03
110.91,45.57,52.02
164.14,-27.21,0.75
141.33,-23.18,1.34
76.70,47.23,29.40
59.68,72.89,11.62
76.45,32.72,25.15
85.12,49.16,30.06
115.81,-82.56,0.00
71.47,-49.12,0.00
193.43,37.97,132.19
147.89,44.43,83.69
55.15,13.22,11.19
70.40,-33.12,0.34
114.90,-42.42,0.21
66.27,-23.86,0.68
78.31,26.80,28.65
161.26,-20.80,1.03
90.00,-5.89,4.31
91.04,-8.15,2.69
146.69,34.13,86.08
106.92,-3.65,6.26
195.95,-39.66,0.00
43.91,43.87,11.06
96.14,4.87,14.48
54.16,-48.99,0.83
195.14,-5.12,5.55
157.70,45.11,93.31
55.47,57.46,13.96
92.64,37.69,39.28
85.55,-36.96,0.21
65.02,-48.27,0.00
76.21,60.50,18.62
104.89,82.22,5.85
78.13,78.57,14.25
216.13,-21.30,1.56
62.36,23.00,17.85
81.14,61.65,24.87
99.05,-12.34,2.04
62.09,-21.65,0.76
83.69,46.59,34.41
94.69,62.80,26.94
164.43,-24.05,0.34
188.29,-5.60,4.69
166.29,-24.67,0.68
60.48,13.95,9.53
100.13,-15.45,2.46
155.22,32.30,93.22
125.62,23.49,64.38
84.66,-19.50,0.84
140.66,-5.25,5.93
94.00,23.30,38.82
79.77,-10.09,2.81
151.96,63.18,50.89
179.57,18.73,100.76
128.33,43.33,68.66
70.61,25.52,29.11
158.10,-23.88,0.16
161.12,30.63,110.27
83.48,-53.43,0.15
59.99,11.06,11.42
144.19,16.48,83.49
179.35,26.10,123.12
65.11,44.17,23.33
74.42,-9.64,3.44
133.24,44.01,73.19
196.77,10.09,94.51
54.64,-25.00,0.84
117.52,33.06,68.78
111.82,-39.60,0.93
107.44,-75.63,0.00
74.72,-28.76,0.34
66.18,9.15,11.20
182.33,14.02,98.82
166.68,38.19,107.14
60.31,-65.03,0.11
120.60,31.37,62.84
76.88,-7.24,3.46
62.01,-34.27,0.77
150.39,41.38,88.16
158.69,5.18,33.77
37.25,63.85,6.46
60.38,-1.23,4.69
65.83,16.71,20.96
129.78,-28.65,0.00
83.95,27.13,38.10
124.29,20.35,52.30
119.16,48.76,53.66
61.14,-67.90,0.61
166.35,-20.51,0.66
114.23,17.37,38.24
167.07,-70.63,0.00
144.01,10.27,43.89
190.62,-11.39,3.19
181.24,16.06,107.81
97.82,3.06,13.56
204.92,26.26,150.77
49.65,-50.99,0.43
73.46,-8.51,2.41
67.75,68.81,16.38
131.74,44.51,70.23
201.62,29.58,141.28
81.54,56.71,26.58
150.75,38.81,95.02
174.03,0.59,18.76
64.76,30.00,22.28
54.20,7.32,8.01
67.13,49.91,20.52
74.55,62.39,21.36
148.71,17.42,73.14
248.01,-23.75,1.30
142.44,-9.37,3.05
45.82,-17.92,1.81
188.85,78.32,32.05
168.33,13.54,70.80
134.15,-4.41,5.60
99.14,-73.97,0.00
236.69,54.63,139.79
82.44,75.55,16.27
79.97,-35.31,0.08
121.97,42.85,62.03
159.87,-16.00,0.86
81.61,-27.70,0.00
182.73,-50.02,0.00
136.76,-70.80,0.00
99.28,-30.26,0.00
186.52,31.88,134.88
85.21,8.57,16.11
40.61,-38.52,0.39
70.80,-54.57,0.00
107.10,-31.53,0.58
80.16,72.07,16.02
196.09,40.99,128.01
73.55,55.99,22.91
89.47,67.35,19.12
84.18,21.92,37.68
124.65,-14.41,0.75
47.36,1.02,5.07
63.95,-24.79,1.03
116.92,39.45,64.63
138.17,-39.96,0.00
154.23,-38.74,0.00
77.48,29.39,28.95
165.78,-25.49,1.05
56.15,32.64,14.24
58.83,-59.20,0.00
98.71,18.14,39.01
96.23,-24.13,0.99
116.62,-51.89,0.00
99.01,26.78,45.60
57.98,-53.65,0.00
75.07,-6.49,3.58
64.57,-57.10,0.33
40.94,5.15,4.95
101.09,-66.11,0.07
190.96,35.31,132.59
190.94,17.00,111.59
65.40,-40.31,0.13
180.53,-14.76,1.87
149.12,-13.47,2.48
149.43,42.37,84.46
48.08,-39.93,0.44
214.14,-12.30,2.13
111.42,-27.92,0.00
52.95,76.67,9.11
178.82,-2.57,11.10
181.28,30.70,129.79
123.95,-0.67,11.42
142.09,1.14,15.84
154.49,3.37,24.17
150.13,-30.66,0.38
59.08,3.46,6.64
121.81,-2.79,8.30
152.27,78.72,11.34
82.74,-47.71,0.25
82.13,53.92,27.92
151.74,26.81,97.09
180.35,41.15,117.28
77.18,-22.70,0.35
170.87,39.45,112.83
131.50,-34.99,0.00
101.60,-3.62,4.84
71.97,-63.84,0.00
86.50,-67.02,0.04
145.25,-72.53,0.06
160.76,-24.46,1.02
196.22,43.17,130.48
78.17,32.42,30.15
126.92,-24.87,0.32
101.97,-2.10,6.70
77.35,-67.81,0.07
164.79,-3.97,6.67
116.07,18.46,44.69
132.94,-7.24,4.76
46.03,-61.71,0.62
80.32,-59.70,0.15
99.53,8.67,25.74
96.78,41.74,46.06
228.94,-25.89,0.53
146.63,-66.11,0.00
157.61,-29.31,0.32
45.59,-22.95,1.32
113.90,21.46,62.29
118.82,-21.58,1.73
116.92,11.54,38.04
195.54,-37.94,0.02
166.04,-40.97,0.45
73.08,-13.69,1.79
122.11,34.50,70.81
93.08,13.24,23.54
91.00,44.94,35.08
128.85,-23.51,1.03
59.69,54.72,16.20
60.15,-0.03,5.72
148.60,-33.26,0.00
143.50,-70.70,0.00
100.42,73.38,27.32
33.32,31.37,6.52
69.98,3.53,9.14
97.34,3.23,11.15
93.85,-10.97,2.94
82.70,34.00,34.68
97.59,-59.52,0.00
94.09,-4.40,5.89
52.19,-53.43,0.28
176.19,-4.08,8.10
93.84,-25.21,0.33
47.60,-42.38,0.00
59.07,-74.41,0.00
158.05,-59.05,0.19
114.75,9.94,30.57
131.85,-4.52,6.76
97.60,-47.66,0.00
179.92,19.23,111.52
126.33,27.05,72.22
90.16,0.81,8.84
107.24,0.95,10.77
57.66,7.24,7.61
146.38,24.39,92.94
190.45,-14.45,1.84
139.57,-35.09,0.79
48.67,21.07,9.24
235.33,2.66,44.36
173.27,-21.24,0.61
153.23,-31.20,0.08
94.75,33.18,47.33
181.79,-31.02,0.51
238.99,-37.54,0.73
190.23,-14.49,1.50
255.22,6.42,93.51
202.88,1.26,24.56
175.06,13.27,92.00
86.16,28.19,28.87
153.89,-8.68,4.25
111.80,-77.21,0.20
196.86,-11.18,3.10
157.49,-17.28,0.51
137.93,-57.09,0.00
72.06,14.53,20.39
126.06,23.73,55.33
67.10,52.86,20.52
63.87,74.16,4.63
113.16,31.26,60.49
118.84,38.16,65.41
142.60,58.33,62.58
69.89,44.80,24.30
164.60,-61.54,0.00
241.63,-9.47,3.54
100.37,-28.53,0.27
168.54,-30.37,0.80
174.91,42.79,110.87
121.41,-58.64,0.00
110.16,-23.71,0.15
103.55,-17.50,1.25
149.31,9.62,52.23
64.00,-27.10,1.06
36.84,28.00,6.41
66.81,22.59,25.56
69.92,-47.03,0.34
175.44,-21.92,1.00
71.98,31.36,23.76
89.22,58.87,30.50
145.64,-1.54,9.41
90.69,-2.56,6.05
98.24,29.02,52.42
131.62,-31.68,0.00
51.79,-9.95,3.05
200.23,25.39,130.83
152.14,-30.22,0.00
84.21,-28.09,0.90
93.08,-23.69,0.00
222.06,-25.56,0.75
194.18,38.24,137.71
72.30,-27.27,0.00
140.82,68.68,38.91
66.00,-65.80,0.00
184.73,-30.65,0.62
138.00,0.05,14.34
71.61,-54.61,0.00
175.17,18.97,107.36
88.50,-31.60,1.02
120.81,-59.19,0.21
156.29,21.86,81.52
44.17,-30.91,0.95
150.38,14.93,62.05
122.68,11.96,38.11
156.94,69.90,37.02
85.55,20.09,26.04
42.46,-51.30,0.80
181.55,-29.12,0.42
170.64,46.35,101.64
150.68,35.44,95.21
99.59,38.73,47.52
62.54,-27.85,1.11
96.69,-34.28,0.21
69.92,3.47,8.93
48.09,6.63,6.35
124.65,-7.54,4.53
185.16,27.96,138.93
170.02,-61.63,0.65
73.61,5.52,10.05
135.39,21.65,75.28
72.61,27.60,25.31
149.29,-29.31,0.48
70.30,38.29,21.95
127.30,-25.69,0.87
78.86,34.64,34.00
79.03,-63.58,0.00
217.96,-24.91,1.40
103.47,8.56,29.75
89.41,13.66,26.45
90.19,33.01,41.22
89.91,50.86,35.50
108.50,21.04,43.41
51.24,33.91,11.41
189.01,-9.44,3.65
130.60,-48.64,0.20
71.30,48.29,23.81
90.59,-26.59,0.64
154.76,-14.91,2.32
92.77,52.11,35.02
54.60,-4.05,4.09
80.32,-39.33,0.00
104.50,22.33,45.36
96.89,-80.98,0.00
143.11,82.91,8.72
140.67,36.21,81.40
88.46,-28.94,0.55
94.42,-19.91,1.68
146.50,-39.74,0.40
118.93,15.81,45.20
152.56,36.52,90.09
35.41,10.00,4.88
153.74,-72.45,0.23
146.98,-31.08,0.00
94.27,-32.64,0.25
55.28,-25.94,1.41
163.34,-46.42,0.24
99.69,8.88,21.63
43.89,50.87,9.39
224.14,7.61,80.90
54.17,26.15,14.33
121.78,39.30,61.16
142.61,1.51,17.62
47.07,-46.57,0.41
90.68,-79.21,0.00
122.00,-24.57,0.00
48.81,-45.58,0.73
86.48,37.05,41.63
60.68,-48.54,0.03
57.17,-21.19,0.94
102.37,-48.29,0.00
157.41,49.22,86.24
63.33,43.72,21.31
119.39,57.08,48.46
77.27,52.34,25.71
100.47,59.59,34.74
185.04,8.93,61.45
152.01,-4.31,5.81
131.68,-35.40,0.00
129.82,-20.82,1.81
45.63,5.28,4.34
114.35,-14.44,0.60
207.28,18.20,139.28
146.74,-67.06,0.00
122.98,4.78,26.33
85.80,78.04,16.64
171.85,9.88,62.47
78.22,-62.89,0.00
91.17,-13.70,2.05
139.65,35.88,84.71
201.61,-36.93,0.00
104.31,-30.56,0.90
90.54,-1.69,7.14
170.84,-51.41,0.32
94.48,23.89,37.22
152.18,-15.31,1.67
197.05,21.72,135.50
181.68,-27.81,1.40
86.56,61.42,27.74
146.87,19.31,84.33
79.70,16.93,20.57
77.55,-29.60,0.23
118.70,-48.34,0.21
177.89,22.06,127.25
189.78,-12.89,2.63
75.90,-40.26,0.27
107.26,76.28,8.98
85.01,12.23,23.18
236.16,19.68,154.71
85.34,-46.18,0.00
60.64,23.15,13.00
61.15,-55.17,0.00
82.08,-23.80,0.00
136.01,5.70,27.66
106.40,-10.38,3.07
125.27,-29.36,0.70
178.32,-14.98,0.45
115.86,-32.68,0.00
111.33,2.18,13.84
185.48,3.20,31.43
204.12,7.46,71.03
113.65,40.06,55.58
146.78,-33.79,0.40
165.54,14.03,89.62
66.56,-10.99,2.60
65.83,-54.47,0.00
127.02,0.27,12.13
212.77,-1.97,12.69
154.81,-38.46,0.28
128.28,-9.43,2.53
110.05,-48.79,0.00
110.89,-65.47,0.00
179.34,-78.63,0.12
201.07,50.47,121.08
105.52,-67.09,0.00
189.19,25.17,126.05
116.54,21.63,56.18
80.23,-19.50,1.79
50.83,-7.87,2.59
86.23,-17.23,1.37
83.27,15.54,21.83
87.30,-2.89,5.22
96.48,-47.07,0.09
68.84,63.75,15.02
127.21,19.09,64.78
168.53,23.74,95.36
49.69,-75.05,0.00
94.79,-60.85,0.00
125.34,33.69,72.93
111.44,-32.07,0.07
60.60,36.54,18.67
88.76,20.01,25.64
74.63,-34.70,0.99
42.68,57.50,8.93
80.79,-36.88,0.00
130.74,-34.73,0.00
116.12,11.60,30.21
71.12,-64.91,0.00
184.86,-49.49,0.27
78.63,43.95,30.14
114.05,13.71,36.70
83.43,-3.06,5.27
158.60,-34.90,0.34
110.40,-74.05,0.07
79.74,-19.61,1.62
165.04,-18.05,1.57
139.73,-30.24,0.60
153.79,-18.51,0.00
92.83,48.06,39.07
141.86,-63.81,0.18
230.82,-33.66,0.58
278.59,-33.42,1.11
176.64,19.61,113.19
108.77,68.96,30.59
157.23,20.98,92.52
163.14,3.30,28.13
190.23,4.22,42.70
166.63,-42.64,0.00
112.53,-5.52,4.81
151.30,-4.59,7.27
62.58,-23.11,1.04
62.61,-68.53,0.00
75.07,60.86,18.16
156.57,72.34,35.57
160.92,37.23,104.50
93.17,63.84,25.99
76.59,57.49,23.88
134.07,-6.71,5.47
93.70,-75.89,0.00
189.02,7.16,59.29
119.29,-34.38,0.21
113.74,-1.75,8.74
49.56,-24.85,0.43
71.91,-29.82,0.87
178.44,19.86,113.87
94.63,-39.27,0.48
105.79,86.36,4.11
109.00,21.18,49.28
97.78,11.56,28.00
181.60,30.82,130.21
135.77,2.79,18.96
151.09,10.46,60.47
52.99,-14.56,1.73
91.75,-22.45,1.37
135.97,66.66,36.65
93.99,11.88,22.78
93.89,-40.56,0.46
149.83,24.21,98.36
59.89,5.61,8.45
133.70,41.35,70.77
73.15,57.15,22.22
157.27,-10.25,2.27
58.40,26.85,14.22
57.93,28.97,14.81
194.05,46.18,121.71
165.56,23.83,110.51
102.90,-55.46,0.35
121.52,-32.84,0.35
120.16,-16.20,1.14
126.58,52.10,59.11
201.36,-20.14,1.27
58.86,-57.14,0.71
149.35,15.11,61.52
